Base Symbol,Manufacturer,MPN,Value,Package Description,Footprint,Height (mm),Tolerance (%),Datasheet,Voltage (capacitor),Dielectric (capacitor)
C,Kemet,C0603C391G5GACTU,390p,0603,Capacitor_SMD:C_0603_1608Metric,0.8,2%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,50V,NP0/C0G
C,Kemet,C0603C751G5GACTU,750p,0603,Capacitor_SMD:C_0603_1608Metric,0.8,2%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,50V,NP0/C0G
C,Kemet,C0603C151J2GACTU,150p,0603,Capacitor_SMD:C_0603_1608Metric,0.8,5%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,200V,NP0/C0G
C,Kemet,C0603C471J4GACTU,470p,0603,Capacitor_SMD:C_0603_1608Metric,0.8,5%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,16V,NP0/C0G
C,Kemet,C0603C511K5GACTU,510p,0603,Capacitor_SMD:C_0603_1608Metric,0.8,10%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,50V,NP0/C0G
C,Kemet,C0603C361JAGACTU,360p,0603,Capacitor_SMD:C_0603_1608Metric,0.8,5%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,250V,NP0/C0G
C,Kemet,C0603C151J4GACTU,150p,0603,Capacitor_SMD:C_0603_1608Metric,0.8,5%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,16V,NP0/C0G
C,Kemet,C0603C331F3GACTU,330p,0603,Capacitor_SMD:C_0603_1608Metric,0.8,1%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,25V,NP0/C0G
C,Kemet,C0603C391K1GACTU,390p,0603,Capacitor_SMD:C_0603_1608Metric,0.8,10%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,100V,NP0/C0G
C,Kemet,C0603C131F5GACTU,130p,0603,Capacitor_SMD:C_0603_1608Metric,0.8,1%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,50V,NP0/C0G
C,Kemet,C0603C621K5GACTU,620p,0603,Capacitor_SMD:C_0603_1608Metric,0.8,10%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,50V,NP0/C0G
C,Kemet,C0603C511J1GACTU,510p,0603,Capacitor_SMD:C_0603_1608Metric,0.8,5%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,100V,NP0/C0G
C,Kemet,C0603C121F1GACTU,120p,0603,Capacitor_SMD:C_0603_1608Metric,0.8,1%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,100V,NP0/C0G
C,Kemet,C0603C471F3GACTU,470p,0603,Capacitor_SMD:C_0603_1608Metric,0.8,1%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,25V,NP0/C0G
C,Kemet,C0603C111K5GACTU,110p,0603,Capacitor_SMD:C_0603_1608Metric,0.8,10%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,50V,NP0/C0G
C,Kemet,C0603C471J8GACTU,470p,0603,Capacitor_SMD:C_0603_1608Metric,0.8,5%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,10V,NP0/C0G
C,Kemet,C0603C241K2GACTU,240p,0603,Capacitor_SMD:C_0603_1608Metric,0.8,10%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,200V,NP0/C0G
